"N","sim","alpha","e","P","seed","rownum","intercept","beta","y_var","R","b","e_alpha"
50000,54,0.25,1,500,64116,162,1,3,1000,100,100,1
10000,55,0.25,1,100,12781,163,1,3,1000,100,100,1
25000,55,0.25,1,250,4218,164,1,3,1000,100,100,1
50000,55,0.25,1,500,55442,165,1,3,1000,100,100,1
10000,56,0.25,1,100,13747,166,1,3,1000,100,100,1
25000,56,0.25,1,250,23956,167,1,3,1000,100,100,1
50000,56,0.25,1,500,69028,168,1,3,1000,100,100,1
10000,57,0.25,1,100,79898,169,1,3,1000,100,100,1
25000,57,0.25,1,250,9266,170,1,3,1000,100,100,1
50000,57,0.25,1,500,29359,171,1,3,1000,100,100,1
10000,58,0.25,1,100,31500,172,1,3,1000,100,100,1
25000,58,0.25,1,250,24861,173,1,3,1000,100,100,1
50000,58,0.25,1,500,26846,174,1,3,1000,100,100,1
10000,59,0.25,1,100,5916,175,1,3,1000,100,100,1
25000,59,0.25,1,250,41580,176,1,3,1000,100,100,1
50000,59,0.25,1,500,10764,177,1,3,1000,100,100,1
10000,60,0.25,1,100,37963,178,1,3,1000,100,100,1
25000,60,0.25,1,250,2878,179,1,3,1000,100,100,1
50000,60,0.25,1,500,61085,180,1,3,1000,100,100,1
10000,61,0.25,1,100,75057,181,1,3,1000,100,100,1
25000,61,0.25,1,250,78155,182,1,3,1000,100,100,1
50000,61,0.25,1,500,68717,183,1,3,1000,100,100,1
10000,62,0.25,1,100,59680,184,1,3,1000,100,100,1
25000,62,0.25,1,250,33719,185,1,3,1000,100,100,1
50000,62,0.25,1,500,98527,186,1,3,1000,100,100,1
10000,63,0.25,1,100,32998,187,1,3,1000,100,100,1
25000,63,0.25,1,250,66006,188,1,3,1000,100,100,1
50000,63,0.25,1,500,96366,189,1,3,1000,100,100,1
10000,64,0.25,1,100,31105,190,1,3,1000,100,100,1
25000,64,0.25,1,250,15263,191,1,3,1000,100,100,1
50000,64,0.25,1,500,20094,192,1,3,1000,100,100,1
10000,65,0.25,1,100,1289,193,1,3,1000,100,100,1
25000,65,0.25,1,250,87413,194,1,3,1000,100,100,1
50000,65,0.25,1,500,3374,195,1,3,1000,100,100,1
10000,66,0.25,1,100,60262,196,1,3,1000,100,100,1
25000,66,0.25,1,250,65972,197,1,3,1000,100,100,1
50000,66,0.25,1,500,63847,198,1,3,1000,100,100,1
10000,67,0.25,1,100,67231,199,1,3,1000,100,100,1
25000,67,0.25,1,250,4551,200,1,3,1000,100,100,1
50000,67,0.25,1,500,9093,201,1,3,1000,100,100,1
10000,68,0.25,1,100,80812,202,1,3,1000,100,100,1
25000,68,0.25,1,250,86140,203,1,3,1000,100,100,1
50000,68,0.25,1,500,33422,204,1,3,1000,100,100,1
10000,69,0.25,1,100,52896,205,1,3,1000,100,100,1
25000,69,0.25,1,250,33239,206,1,3,1000,100,100,1
50000,69,0.25,1,500,47564,207,1,3,1000,100,100,1
10000,70,0.25,1,100,97388,208,1,3,1000,100,100,1
25000,70,0.25,1,250,56207,209,1,3,1000,100,100,1
50000,70,0.25,1,500,89192,210,1,3,1000,100,100,1
10000,71,0.25,1,100,5709,211,1,3,1000,100,100,1
25000,71,0.25,1,250,63853,212,1,3,1000,100,100,1
50000,71,0.25,1,500,33573,213,1,3,1000,100,100,1
10000,72,0.25,1,100,26115,214,1,3,1000,100,100,1
25000,72,0.25,1,250,892,215,1,3,1000,100,100,1
50000,72,0.25,1,500,21272,216,1,3,1000,100,100,1
10000,73,0.25,1,100,3417,217,1,3,1000,100,100,1
25000,73,0.25,1,250,15566,218,1,3,1000,100,100,1
50000,73,0.25,1,500,5695,219,1,3,1000,100,100,1
10000,74,0.25,1,100,85936,220,1,3,1000,100,100,1
25000,74,0.25,1,250,38108,221,1,3,1000,100,100,1
50000,74,0.25,1,500,93108,222,1,3,1000,100,100,1
10000,75,0.25,1,100,62538,223,1,3,1000,100,100,1
25000,75,0.25,1,250,7381,224,1,3,1000,100,100,1
50000,75,0.25,1,500,85160,225,1,3,1000,100,100,1
10000,76,0.25,1,100,94052,226,1,3,1000,100,100,1
25000,76,0.25,1,250,90548,227,1,3,1000,100,100,1
